Time(s),NumRequests
0,1159
1,6598
2,6541
3,7077
4,8224
5,7997
6,8298
7,8072
8,7877
9,7830
10,8201
11,8151
12,8201
13,7962
14,7831
15,8113
16,7586
17,7366
18,8335
19,8219
20,6986
21,6782
22,5405
23,4726
24,5619
25,7764
26,7390
27,8078
28,7324
29,7474
30,7793
31,8058
32,7897
33,7217
34,8211
35,8039
36,5739
37,5041
38,4233
39,3600
40,6091
41,7262
42,6835
43,8328
44,8195
45,7854
46,8183
47,7995
48,7733
49,7350
50,6557
51,7123
52,7572
53,6542
54,6447
55,6154
56,4476
57,4094
58,6501
59,5885
60,6750
61,7191
62,7137
63,7017
64,7707
65,6797
66,7996
67,7228
68,8227
69,7959
70,5800
