StartTime(s),RequestType,Latency(ms),ResponseCode
0,POST,322,201
0,POST,325,201
0,POST,341,201
0,POST,385,201
0,POST,390,201
0,POST,421,201
0,POST,338,201
0,POST,350,201
0,POST,362,201
0,POST,384,201
0,POST,385,201
0,POST,389,201
0,POST,407,201
0,POST,411,201
0,POST,415,201
0,POST,660,201
0,POST,672,201
0,POST,330,201
0,POST,334,201
0,POST,335,201
0,POST,348,201
0,POST,350,201
0,POST,352,201
0,POST,385,201
0,POST,401,201
0,POST,402,201
0,POST,403,201
0,POST,411,201
0,POST,416,201
0,POST,312,201
0,POST,312,201
0,POST,312,201
0,POST,325,201
0,POST,345,201
0,POST,345,201
0,POST,345,201
0,POST,347,201
0,POST,350,201
0,POST,353,201
0,POST,379,201
0,POST,392,201
0,POST,402,201
0,POST,405,201
0,POST,410,201
0,POST,670,201
0,POST,326,201
0,POST,331,201
0,POST,340,201
0,POST,346,201
0,POST,349,201
0,POST,377,201
0,POST,378,201
0,POST,404,201
0,POST,404,201
0,POST,405,201
0,POST,409,201
0,POST,414,201
0,POST,310,201
0,POST,378,201
0,POST,383,201
0,POST,413,201
0,POST,315,201
0,POST,322,201
0,POST,351,201
0,POST,297,201
0,POST,299,201
0,POST,312,201
0,POST,349,201
0,POST,277,201
0,POST,292,201
0,POST,299,201
0,POST,313,201
0,POST,317,201
0,POST,370,201
0,POST,295,201
0,POST,298,201
0,POST,310,201
0,POST,341,201
0,POST,368,201
0,POST,378,201
0,POST,290,201
0,POST,295,201
0,POST,297,201
0,POST,354,201
0,POST,361,201
0,POST,273,201
0,POST,308,201
0,POST,340,201
0,POST,345,201
0,POST,618,201
0,POST,278,201
0,POST,359,201
0,POST,287,201
0,POST,292,201
0,POST,359,201
0,POST,364,201
0,POST,372,201
0,POST,305,201
0,POST,357,201
0,POST,333,201
0,POST,333,201
0,POST,356,201
0,POST,330,201
0,POST,357,201
0,POST,269,201
0,POST,297,201
0,POST,342,201
0,POST,349,201
0,POST,300,201
0,POST,328,201
0,POST,334,201
0,POST,340,201
0,POST,351,201
0,POST,359,201
0,POST,307,201
0,POST,326,201
0,POST,358,201
0,POST,363,201
